Key,Value
69,６９
3P,３Ｐ
ACME,あくめ
AIEKI,あいえき
ANAKYOUDAI,あなきょうだい
ANANIE,あなにー
ANAL,あなる
ANUS,あぬす
AOKAN,あおかん
ASADACHI,あさだち
ASHIKOKI,あしこき
AV,えーぶい
BACK,ばっく
BAIBU,ばいぶ
BAISYUNFU,ばいしゅんふ
BAKUNYU,ばくにゅう
BOIN,ぼいん
BOKKI,ぼっき
BUKKAKE,ぶっかけ
CHIBUSA,ちぶさ
CHIKUBI,ちくび
CHINCHIN,ちんちん
CHINGE,ちんげ
CHINKASU,ちんかす
CHINKO,ちんこ
CHINPO,ちんぽ
CHITSU,ちつ
CHIROU,ちろう
CLI,くり
CLITORIS,くりとりす
CONDOM,こんどーむ
COWPER,かうぱー
CUNNI,くんに
CUNNILINGUS,くんにりんぐす
DAIBEN,だいべん
DEEPTHROAT,でぃーぷすろーと
DELIHEALTH,でりへる
DEKACHIN,でかちん
DEKAMARA,でかまら
DILDO,でぃるど
DOUTEI,どうてい
ECSTASY,えくすたしー
EKIBEN,えきべん
FELLA,ふぇら
FUDEOROSHI,ふでおろし
FUTANARI,ふたなり
FUZOKUJOU,ふうぞくじょう
GAISYOU,がいしょう
GAMANSIRU,がまんしる
GANSYA,がんしゃ
H,えっち
HAMEDORI,はめどり
HATSUTAIKEN,はつたいけん
HEALTH,へるす
HIMEHAJIME,ひめはじめ
HINNYU,ひんにゅう
HOUKEI,ほうけい
ICHIMOTSU,いちもつ
IKUIKU,いくいく
INPO,いんぽ
INRAN,いんらん
IRRUMATIO,いらまちお
JIIKOUI,じいこうい
JOROU,じょろう
JOSEIKI,じょせいき
JUUKAN,じゅうかん
KABUTOAWASE,かぶとあわせ
KAIAWASE,かいあわせ
KAIMENTAI,かいめんたい
KANCHO,かんちょー
KARI,かり
KETSU,けつ
KIJOUI,きじょうい
KINTAMA,きんたま
KITOU,きとう
KOUGAN,こうがん
KOUHAII,こうはいい
KOUMON,こうもん
KUPAA,くぱぁ
KYOKON,きょこん
KYONYU,きょにゅう
LOVEDOLL,らぶどーる
LOVEHO,らぶほ
MANGE,まんげ
MANGURIGAESHI,まんぐりかえし
MANJIRU,まんじる
MANKO,まんこ
MARA,まら
MUSEI,むせい
MASUKAKI,ますかき
NAKADASHI,なかだし
NETORARE,ねとられ
NIKUBENKI,にくべんき
NOPAN,のーぱん
NUDE,ぬーど
NYURIN,にゅうりん
OCHINCHIN,おちんちん
OCHINKO,おちんこ
OMEKO,おめこ
ONAHO,おなほ
ONANIE,おなにー
ONARA,おなら
ONARU,おなる
OPPAI,おっぱい
OSHIRI,おしり
PAIOTSU,ぱいおつ
PAIPAN,ぱいぱん
PAIZURI,ぱいずり
PANCHIRA,ぱんちら
PANTSU,ぱんつ
PENIS,ぺにす
RAPE,れいぷ
RINKAN,りんかん
SCATOLOGY,すかとろ
SEFURE,せふれ
SEIJOUI,せいじょうい
SEIKOUI,せいこうい
SEISHI,せいし
SEX,せっくす
SHIKOSHIKO,しこしこ
SHIOFUKI,しおふき
SHIRIGARU,しりがる
SHIRUDANYU,しるだんゆう
SIXNINE,しっくすないん
SOUROU,そうろう
SUMATA,すまた
SUNDOME,すんどめ
SYAKUHACHI,しゃくはち
SYOTAIKEN,しょたいけん
SYOUFU,しょうふ
SYUIN,しゅいん
TANETSUKE,たねつけ
TEMAN,てまん
TENGA,てんが
TEKOKI,てこき
UNKO,うんこ
YARICHIN,やりちん
YARIMAN,やりまん
YUJO,ゆうじょ
ZAI,ざい
